ticker,company_name,business,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,var_95_daily,cvar_95_daily,beta_to_tsx,capm_expected_return,jensens_alpha,treynor_ratio,tracking_error,information_ratio,positive_day_rate,average_dollar_volume
RY,ROYAL BANK OF CANADA,BANKING,1254,1.7000945348595002,0.22092390428288833,0.14606334716051575,1.2728991077999052,1.6976051109474135,-0.21186047843355083,-0.0143179,-0.021362539682539688,0.795999984934575,0.13489157104807456,0.08603233323481377,0.2335727484946747,0.1080594274273302,0.5592476280811995,0.5749601275917066,588416103.0974481
CM,CANADIAN IMPERIAL BANK OF COMMERCE,BANKING,1254,1.9207217468944946,0.24034780381342769,0.1729809009860676,1.1871125808852563,1.6002200214494013,-0.36094451469265476,-0.016983099999999998,-0.025016650793650796,0.8221752527723554,0.1381763558174297,0.10217144799599798,0.24976159659512953,0.13930241949523925,0.5732554990820918,0.5677830940988836,254880782.649378
CNQ,CANADIAN NATURAL RESOURCES LIMITED,OIL/GAS EXPL & DEV,1255,3.1082565252146495,0.328068515189081,0.30398038326764754,0.9641033807469117,1.3895945296371248,-0.29847554842016455,-0.031563799999999996,-0.043985333333333335,1.35195338494032,0.20465923387115492,0.12340928131792606,0.21677412731358192,0.2541252970697155,0.6594250604683698,0.546613545816733,503510292.5963187
ENB,ENBRIDGE INC.,OIL PIPELINE,1254,1.2496399248578092,0.1769541712740681,0.15513220222569032,0.9150528983502052,1.2190939807345296,-0.21311486478431663,-0.015371649999999999,-0.023412873015873012,0.6749582619356927,0.11970181212651126,0.05725235914755683,0.2103154806446282,0.13551836933097214,0.1214761183520552,0.562200956937799,444317955.3358054
TD,TORONTO-DOMINION BANK (THE),BANKING,1254,1.2457242725772004,0.17654221048558894,0.16775455080727014,0.8437458763679321,1.080677437661645,-0.2605435302876681,-0.01654855,-0.025305238095238096,0.7659076493347852,0.13111522590176655,0.04542698458382238,0.18480323392581702,0.13954530053351702,0.11501845366259729,0.5566188197767146,547652653.367807
BMO,BANK OF MONTREAL,BANKING,1254,1.2903823192988688,0.18120698383270883,0.17778818954978576,0.8223661211858323,1.0567997860687255,-0.27450363809826117,-0.0175542,-0.02660338095238095,0.9517391894284885,0.15443558374294042,0.026771400089768416,0.15362085060351977,0.12981898913815934,0.1595687824091861,0.5462519936204147,326551616.90393144
SU,SUNCOR ENERGY INC.,OIL/GAS EXPL & DEV,1254,2.5304753470152086,0.2885191544270038,0.31400770778127896,0.8073660236505779,1.1969737195613674,-0.30601036941947335,-0.03042005,-0.044014634920634926,1.2732779552168778,0.1947861026818334,0.09373305174517041,0.19910747169405113,0.27093369178104487,0.47254081905814677,0.5318979266347688,397317912.99261564
BNS,BANK OF NOVA SCOTIA (THE),BANKING,1254,0.9529448227059722,0.1439740338275457,0.15953459250158009,0.6830746367842848,0.9218467587368142,-0.3489050342651945,-0.0154575,-0.02358411111111111,0.746576073639819,0.12868926923901153,0.015284764588534172,0.14596507666828812,0.1319479465777435,-0.12518491119574476,0.5502392344497608,321015898.7633732
ATD,ALIMENTATION COUCHE-TARD INC.,RETAIL FOOD CHAIN,1252,0.7595950412253021,0.1204595236738526,0.23554581985979126,0.3628148600757271,0.5665276178081181,-0.22158189127377925,-0.02215275,-0.03109482539682539,0.7117821071591792,0.12432290737905394,-0.0038633837052013398,0.1200641640388143,0.2204497548320509,-0.18159422385834534,0.5063897763578274,96518237.40940097
CNR,CANADIAN NATIONAL RAILWAY CO.,RAILROAD,1254,0.07424707916731421,0.014496612152727462,0.19900969901086607,-0.10302707832422299,-0.14873707595975605,-0.27236477428959815,-0.019212399999999998,-0.028740142857142856,0.8344689432183217,0.13971911470671186,-0.1252225025539844,-0.02457058230135744,0.16942369850721586,-0.8617171914907518,0.5135566188197768,193415359.34395534
T,TELUS CORPORATION,TELECOMMUNICATIONS,1254,-0.03546647539859338,-0.007230427199207523,0.1589089472964901,-0.26575235641335276,-0.3661956826332382,-0.35672323438978915,-0.015389400000000001,-0.02320273015873016,0.3982901158472923,0.08498219366571436,-0.09221262086492188,-0.10602931260136775,0.16905591783858373,-0.9921116938461266,0.49760765550239233,78926528.96530302
BCE,BCE INC.,TELECOMMUNICATIONS,1254,-0.15090989520184905,-0.03234004442452898,0.16687039757223318,-0.40354697660128425,-0.5067134377794111,-0.49862442083990044,-0.015038999999999999,-0.025657841269841268,0.2641652709730253,0.06815060858450231,-0.10049065300903129,-0.2549163414876185,0.1885611515110018,-1.0226495154576916,0.48963317384370014,162991453.83524722
